Year,Gender,Discipline,Name,Country,Result,Date
2001,men,800m,Yuriy BORZAKOVSKIY,RUS,1:42.47,24 AUG 2001
2001,men,1500m,Hicham EL GUERROUJ,MAR,3:26.12,24 AUG 2001
2001,men,5000m,Richard LIMO,KEN,12:56.72,17 AUG 2001
2001,men,10000m,Abraham CHEBII,KEN,27:04.20,04 MAY 2001
2001,women,800m,Maria de Lurdes MUTOLA,MOZ,1:56.85,17 AUG 2001
2001,women,1500m,Violeta BECLEA-SZEKELY,ROU,3:59.35,20 JUL 2001
2001,women,5000m,Olga YEGOROVA,RUS,14:29.32,31 AUG 2001
2001,women,10000m,Paula RADCLIFFE,GBR,30:55.80,07 APR 2001
2002,men,800m,Wilson KIPKETER,DEN,1:42.32,08 SEP 2002
2002,men,1500m,Hicham EL GUERROUJ,MAR,3:26.89,16 AUG 2002
2002,men,5000m,Salah HISSOU,MAR,12:55.85,12 JUL 2002
2002,men,10000m,Sammy KIPKETER,KEN,26:49.38,30 AUG 2002
2002,women,800m,Jolanda ČEPLAK,SLO,1:55.19,20 JUL 2002
2002,women,1500m,Süreyya AYHAN-KOP,TUR,3:57.75,30 AUG 2002
2002,women,5000m,Paula RADCLIFFE,GBR,14:31.42,28 JUL 2002
2002,women,10000m,Paula RADCLIFFE,GBR,30:01.09,06 AUG 2002
2003,men,800m,Wilfred BUNGEI,KEN,1:42.52,05 SEP 2003
2003,men,1500m,Hicham EL GUERROUJ,MAR,3:28.40,05 SEP 2003
2003,men,5000m,Stephen CHERONO,KEN,12:48.81,12 JUN 2003
2003,men,10000m,Haile GEBRSELASSIE,ETH,26:29.22,05 SEP 2003
2003,women,800m,Maria de Lurdes MUTOLA,MOZ,1:55.55,19 JUL 2003
2003,women,1500m,Süreyya AYHAN-KOP,TUR,3:55.33,05 SEP 2003
2003,women,5000m,Berhane ADERE,ETH,14:29.32,27 JUN 2003
2003,women,10000m,Berhane ADERE,ETH,30:04.18,23 AUG 2003
2004,men,800m,Wilfred BUNGEI,KEN,1:43.06,06 AUG 2004
2004,men,1500m,Bernard LAGAT,KEN,3:27.40,06 AUG 2004
2004,men,5000m,Kenenisa BEKELE,ETH,12:37.35,31 MAY 2004
2004,men,10000m,Kenenisa BEKELE,ETH,26:20.31,08 JUN 2004
2004,women,800m,Tatyana ANDRIANOVA,RUS,1:56.23,31 JUL 2004
2004,women,1500m,Kelly HOLMES,GBR,3:57.90,28 AUG 2004
2004,women,5000m,Elvan ABEYLEGESSE,TUR,14:24.68,11 JUN 2004
2004,women,10000m,Paula RADCLIFFE,GBR,30:17.15,27 JUN 2004
2005,men,800m,Wilfred BUNGEI,KEN,1:43.70,28 AUG 2005
2005,men,1500m,Bernard LAGAT,USA,3:29.30,28 AUG 2005
2005,men,5000m,Kenenisa BEKELE,ETH,12:40.18,01 JUL 2005
2005,men,10000m,Kenenisa BEKELE,ETH,26:17.53,26 AUG 2005
2005,women,800m,Tatyana ANDRIANOVA,RUS,1:56.07,11 JUL 2005
2005,women,1500m,Maryam Yusuf JAMAL,BRN,3:56.79,28 AUG 2005
2005,women,5000m,Meseret DEFAR,ETH,14:28.98,26 AUG 2005
2005,women,10000m,Tirunesh DIBABA,ETH,30:15.67,28 JUN 2005
2006,men,800m,Mbulaeni MULAUDZI,RSA,1:43.09,27 AUG 2006
2006,men,1500m,Daniel Kipchirchir KOMEN,KEN,3:29.02,14 JUL 2006
2006,men,5000m,Kenenisa BEKELE,ETH,12:48.09,25 AUG 2006
2006,men,10000m,Micah Kemboi KOGO,KEN,26:35.63,25 AUG 2006
2006,women,800m,Janeth JEPKOSGEI,KEN,1:56.66,11 JUL 2006
2006,women,1500m,Yuliya CHIZHENKO,RUS,3:55.68,08 JUL 2006
2006,women,5000m,Meseret DEFAR,ETH,14:24.53,03 JUN 2006
2006,women,10000m,Elvan ABEYLEGESSE,TUR,30:21.67,15 APR 2006
2007,men,800m,Mbulaeni MULAUDZI,RSA,1:43.74,25 JUL 2007
2007,men,1500m,Alan WEBB,USA,3:30.54,06 JUL 2007
2007,men,5000m,Kenenisa BEKELE,ETH,12:49.53,28 JUL 2007
2007,men,10000m,Kenenisa BEKELE,ETH,26:46.19,14 SEP 2007
2007,women,800m,Janeth JEPKOSGEI,KEN,1:56.04,28 AUG 2007
2007,women,1500m,Maryam Yusuf JAMAL,BRN,3:58.75,02 SEP 2007
2007,women,5000m,Meseret DEFAR,ETH,14:16.63,15 JUN 2007
2007,women,10000m,Mestawat TUFA,ETH,31:00.27,26 JUN 2007
2008,men,800m,Abubaker KAKI,SUD,1:42.69,06 JUN 2008
